codigo,n_anpc,ano,mes,dia,data_alerta,hora_alerta,data_extincao,hora_extincao,data_1intervencao,hora_1intervencao,distrito,concelho,freguesia,local,dico_ine,lat,lon,x_militar,y_militar,coord_fonte,area_total_ha,area_povoamento_ha,area_mato_ha,area_agricola_ha,tipo,causa_codigo,causa_tipo,reacendimento,incendio_florestal,incendio_agricola,queimada,duracao_h
BI201373,15474.0,2001,8,6,2001-08-06,21:50:00,2001-08-10,01:00:00,2001-08-06,21:50:00,Castelo Branco,Covilhã,Unhais da Serra,Cabeço dos Coucinhos,50325,40.269444,-7.612222,244300.0,366900.0,dms_recuperado,1270.0,509.0,761.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,75.17
BI101482,11765.0,2001,8,6,2001-08-06,16:35:00,2001-08-07,00:00:00,2001-08-06,16:40:00,Guarda,Guarda,Ramela,Dominga Feia,90734,40.470833,-7.266389,273500.0,389500.0,dms_recuperado,495.0,5.0,490.0,0.0,Florestal,,,0,1,0,0,7.42
BI201366,15424.0,2001,8,6,2001-08-06,12:09:00,2001-08-07,23:05:00,2001-08-06,12:13:00,Castelo Branco,Idanha-a-Nova,Idanha-a-Nova,SÃO GENS,50503,39.933056,-7.250833,275400.0,329800.0,dms_recuperado,420.0,150.0,270.0,0.0,Florestal,,,0,1,0,0,34.93
AT901308,89.0,2001,8,6,2001-08-06,12:45:00,2001-08-07,01:00:00,2001-08-06,12:47:00,Setúbal,Grândola,Santa Margarida da Serra,SANTA MARGARIDA DA SERRA,150504,38.122342,-8.603308,158767.0,128486.0,dms_recuperado,342.0,342.0,0.0,0.0,Florestal,2.0,Negligente,0,1,0,0,12.25
BI201367,15430.0,2001,8,6,2001-08-06,13:28:00,2001-08-09,08:50:00,2001-08-06,13:31:00,Castelo Branco,Belmonte,Maçainhas,MAÇAINHAS,50105,40.391111,-7.307222,270100.0,380600.0,dms_recuperado,185.45,2.45,183.0,0.0,Florestal,4.0,Intencional,0,1,0,0,67.37
TM201292,10692.0,2001,8,6,2001-08-06,14:30:00,2001-08-08,02:00:00,2001-08-06,14:50:00,Bragança,Macedo de Cavaleiros,Burga,Bouça Queimada \ REG,40506,41.432222,-7.015833,293382.0,496487.0,dms_recuperado,110.6,20.89,89.71,0.0,Florestal,4.0,Intencional,0,1,0,0,35.5
AG101146,2751.0,2001,8,7,2001-08-07,15:20:00,2001-08-08,21:00:00,2001-08-07,15:20:00,Faro,Monchique,Monchique,Cerro da Viúva \ MTE,80903,37.255,-8.571944,161044.0,32224.0,dms_recuperado,1300.0,425.0,875.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,29.67
AT901257,52.0,2001,8,7,2001-08-07,14:50:00,2001-08-07,21:30:00,2001-08-07,14:52:00,Portalegre,Crato,Crato e Mártires,COUTADA DE BARROS,120602,39.240277,-7.641297,242459.0,252598.0,dms_recuperado,705.0,320.0,0.0,385.0,Florestal,6.0,Desconhecida,0,1,0,0,6.67
TM201297,10714.0,2001,8,7,2001-08-07,18:12:00,2001-08-08,01:37:00,2001-08-07,19:15:00,Bragança,Mogadouro,Bemposta,BEMPOSTA,40802,41.312778,-6.500556,336700.0,483900.0,dms_recuperado,214.16,98.0,116.16,0.0,Florestal,6.0,Desconhecida,0,1,0,0,7.42
BI101497,11851.0,2001,8,7,2001-08-07,17:20:00,2001-08-08,00:00:00,2001-08-07,17:20:00,Guarda,Trancoso,Fiães,FIÃES,91307,40.731944,-7.371944,264300.0,418400.0,dms_recuperado,178.0,5.0,100.0,73.0,Florestal,2.0,Negligente,0,1,0,0,6.67
TM201306,10658.0,2001,8,7,2001-08-07,08:25:00,2001-08-09,05:20:00,2001-08-07,09:10:00,Bragança,Torre de Moncorvo,Mós,Ribeira do Trovisco \ RIB,40913,41.161944,-6.920833,301738.0,466588.0,dms_recuperado,172.82,2.69,170.13,0.0,Florestal,2.0,Negligente,0,1,0,0,44.92
TM201307,10706.0,2001,8,7,2001-08-07,16:20:00,2001-08-07,22:47:00,2001-08-07,16:20:00,Bragança,Vila Flor,Carvalho de Egas,CONCIEIRO \ VG,41004,41.283056,-7.185556,279378.0,479757.0,dms_recuperado,140.0,60.0,74.0,6.0,Florestal,,,0,1,0,0,6.45
TM201333,10794.0,2001,8,8,2001-08-08,17:55:00,2001-08-09,11:10:00,2001-08-08,18:00:00,Bragança,Freixo de Espada à Cinta,Lagoaça,Costa de Colmeais \ REG,40403,41.210833,-6.751389,315884.25,472225.25,dms_recuperado,1800.36,62.05,1728.31,10.0,Florestal,2.0,Negligente,0,1,0,0,17.25
TM101656,7522.0,2001,8,8,2001-08-08,00:15:00,2001-08-08,03:20:00,2001-08-08,00:40:00,Vila Real,Alijó,Pegarinhos,Castorigo \ POV,170108,41.358333,-7.449167,257232.0,487904.0,dms_recuperado,246.57,206.91,39.66,0.0,Florestal,2.0,Negligente,0,1,0,0,3.08
TM201340,10878.0,2001,8,9,2001-08-09,14:00:00,2001-08-09,22:00:00,2001-08-09,14:15:00,Bragança,Freixo de Espada à Cinta,Lagoaça,Minas da Fonte Santa,40403,41.235833,-6.7625,314900.0,475000.0,dms_recuperado,174.0,14.0,150.0,10.0,Florestal,,,1,1,0,0,8.0
TM201350,10941.0,2001,8,10,2001-08-10,07:45:00,2001-08-11,00:50:00,2001-08-10,08:30:00,Bragança,Carrazeda de Ansiães,Beira Grande,SEIXO DOS CORVOS,40302,41.161111,-7.308611,269200.0,466100.0,dms_recuperado,549.41,103.5,419.91,26.0,Florestal,,,0,1,0,0,17.08
BI101591,12056.0,2001,8,10,2001-08-10,10:35:00,2001-08-11,00:00:00,2001-08-10,10:42:00,Guarda,Trancoso,Torres,Monte Zebro,91324,40.752222,-7.302778,270100.0,420700.0,dms_recuperado,501.0,125.0,326.0,50.0,Florestal,2.0,Negligente,0,1,0,0,13.42
TM101729,6455.0,2001,8,10,2001-08-10,12:03:00,2001-08-11,01:10:00,2001-08-10,12:20:00,Vila Real,Vila Pouca de Aguiar,Vreia de Jales,Cortes \ REG,171316,41.438889,-7.635278,241608.0,496771.0,dms_recuperado,109.64,0.0,109.64,0.0,Florestal,4.0,Intencional,0,1,0,0,13.12
TM101738,6469.0,2001,8,10,2001-08-10,16:47:00,2001-08-10,22:55:00,2001-08-10,17:40:00,Vila Real,Vila Pouca de Aguiar,Vreia de Jales,Bouças do Rainho \ REG,171316,41.416667,-7.588056,245570.0,494327.0,dms_recuperado,103.27,6.28,96.99,0.0,Florestal,2.0,Negligente,0,1,0,0,6.13
TM201375,11024.0,2001,8,11,2001-08-11,00:57:00,2001-08-11,11:04:00,2001-08-11,01:30:00,Bragança,Mogadouro,Valverde,VALVERDE,40824,41.290556,-6.810278,310800.0,481000.0,dms_recuperado,340.129,31.0,309.129,0.0,Florestal,2.0,Negligente,0,1,0,0,10.12
TM201409,11179.0,2001,8,11,2001-08-11,13:00:00,2001-08-12,00:25:00,2001-08-11,13:00:00,Bragança,Bragança,Grijó de Parada,Refila \ REG,40219,41.733611,-6.676944,321129.0,530394.0,dms_recuperado,280.37,76.45,203.92,0.0,Florestal,2.0,Negligente,0,1,0,0,11.42
